Problmes,MOEADToM,MOEADCDP,MOEADSP,MOEADSR,MOEADEpsilon,
DC1DTLZ1,3.58104e-03,4.79702e-02,3.75750e-03,9.24216e-02,4.81093e-02,
DC1DTLZ3,5.11213e-03,2.31305e-01,3.46283e-03,6.29194e-02,1.80123e-01,
DC2DTLZ1,3.29425e-03,  Infinity,3.31050e-03,  Infinity,  Infinity,
DC2DTLZ3,3.48727e-03,  Infinity,3.12376e-03,  Infinity,  Infinity,
DC3DTLZ1,3.59356e-03,4.54127e-01,2.95201e-01,3.00356e-01,1.44811e-01,
DC3DTLZ3,3.74216e-03,1.73932e+00,6.14367e-01,6.15088e-01,1.28488e+00,

